"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
22, 9.157769070974542e-01, 1.249407433310676e-02, 1.028757841638108e+05, 3.416305743124093e-02, 7.298217963295345e-01
23, 9.108182028490194e-01, 1.312129308366107e-02, 1.024932443346118e+05, 2.573588203208874e-02, 7.336959649962184e-01
24, 9.058590479990304e-01, 1.374493026682404e-02, 1.022237374394464e+05, 1.979876985844697e-02, 7.369843526632271e-01
25, 9.008994216440568e-01, 1.436480849429545e-02, 1.018913139910808e+05, 1.247563513536699e-02, 7.404586403159141e-01
26, 8.959393884513165e-01, 1.498143584011672e-02, 1.015668879556245e+05, 5.328679717504413e-03, 7.438472005161291e-01
27, 8.909789089091529e-01, 1.559444538106730e-02, 1.012584976678448e+05, -1.465015600330679e-03, 7.470508527916770e-01
28, 8.860179748460491e-01, 1.620378107672860e-02, 1.009644366031265e+05, -7.943044765639852e-03, 7.501217485821248e-01
29, 8.810566453320110e-01, 1.680986701219486e-02, 1.006918173412684e+05, -1.394872093712712e-02, 7.531847213489761e-01
30, 8.760948907940292e-01, 1.741248327959985e-02, 1.004084037866111e+05, -2.019219038342279e-02, 7.562751987885922e-01
31, 8.711327120138701e-01, 1.801158495671227e-02, 1.001341772673895e+05, -2.623327369079491e-02, 7.591184612398064e-01
32, 8.661701602153785e-01, 1.860758914318088e-02, 9.986751364521171e+04, -3.210774987637652e-02, 7.619476355675653e-01
33, 8.612072063281152e-01, 1.920024579795230e-02, 9.958114037393611e+04, -3.841642051002537e-02, 7.648416842713307e-01
34, 8.562438255354533e-01, 1.978930907562407e-02, 9.931508964135904e+04, -4.427739502134578e-02, 7.676253303326193e-01
35, 8.512800700555296e-01, 2.037520270762561e-02, 9.904438058840191e+04, -5.024099017478434e-02, 7.703935925301758e-01
36, 8.463159327140820e-01, 2.095785955727207e-02, 9.876399035332957e+04, -5.641785728980356e-02, 7.732416000378552e-01
37, 8.413513819749686e-01, 2.153699165018575e-02, 9.847952488279347e+04, -6.268449995608477e-02, 7.761999285707289e-01
38, 8.363864230579714e-01, 2.211259044386194e-02, 9.828627683739558e+04, -6.694166496167792e-02, 7.786247018186986e-01
39, 8.314210910605290e-01, 2.268498724197267e-02, 9.801546848197762e+04, -7.290744770237179e-02, 7.815579221713133e-01
40, 8.264553851189225e-01, 2.325411163705682e-02, 9.774121609763484e+04, -7.894910080639476e-02, 7.845632104490498e-01
41, 8.214892967836704e-01, 2.381989649888110e-02, 9.746045722141594e+04, -8.513408891526687e-02, 7.873042029633565e-01
42, 8.165228664442191e-01, 2.438267560545394e-02, 9.719147261747341e+04, -9.105969525498286e-02, 7.900096841033170e-01
