"Iteration","CL","CD","CSF","CMx","CMy","CMz","CFx","CFy","CFz","CL/CD","AoA","Custom_ObjFunc","Res_Flow[0]","Res_Flow[1]","Res_Flow[2]","Res_Flow[3]","Res_Flow[4]","Linear_Solver_Iterations","CFL_Number","Time(min)"
          15, 1.02671064e-01, 1.33877729e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.28556245e-02, 1.31606112e-01, 1.05567159e-01, 0.00000000e+00, 7.66901748e-01, 1.25000000e+00, 0.00000000e+00, -1.45628310e+00, 9.51758333e-01, 1.07200503e+00, 4.03256912e+00, 0.00000000e+00, 9.0000000000, 2.9647598982, 0.0262152000
          16, 1.02767127e-01, 1.31055207e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.27234195e-02, 1.28782166e-01, 1.05601626e-01, 0.00000000e+00, 7.84151427e-01, 1.25000000e+00, 0.00000000e+00, -1.45464053e+00, 9.60122774e-01, 1.07315056e+00, 4.03344853e+00, 0.00000000e+00, 9.0000000000, 2.9494597327, 0.0278320167
          17, 1.02929257e-01, 1.28494040e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.26076092e-02, 1.26218072e-01, 1.05707845e-01, 0.00000000e+00, 8.01043041e-01, 1.25000000e+00, 0.00000000e+00, -1.45292204e+00, 9.68546157e-01, 1.07446639e+00, 4.03446629e+00, 0.00000000e+00, 9.0000000000, 2.9327741329, 0.0294666333
          18, 1.03133118e-01, 1.26133853e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.25016377e-02, 1.23854000e-01, 1.05860170e-01, 0.00000000e+00, 8.17648196e-01, 1.25000000e+00, 0.00000000e+00, -1.45121423e+00, 9.76901588e-01, 1.07589910e+00, 4.03552581e+00, 0.00000000e+00, 9.0000000000, 2.9154183507, 0.0310922333
          19, 1.03361901e-01, 1.23933187e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.24010149e-02, 1.21648867e-01, 1.06040892e-01, 0.00000000e+00, 8.34013092e-01, 1.25000000e+00, 0.00000000e+00, -1.44961099e+00, 9.85078869e-01, 1.07737234e+00, 4.03652304e+00, 0.00000000e+00, 9.0000000000, 2.8982721791, 0.0326991000
          20, 1.03604368e-01, 1.21863763e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.23028088e-02, 1.19574645e-01, 1.06238157e-01, 0.00000000e+00, 8.50165511e-01, 1.25000000e+00, 0.00000000e+00, -1.44819648e+00, 9.92979384e-01, 1.07880671e+00, 4.03735363e+00, 0.00000000e+00, 9.0000000000, 2.8822676471, 0.0343280167
          21, 1.03853261e-01, 1.19906181e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.22051722e-02, 1.17612099e-01, 1.06444286e-01, 0.00000000e+00, 8.66121000e-01, 1.25000000e+00, 0.00000000e+00, -1.44703234e+00, 1.00051362e+00, 1.08013334e+00, 4.03792608e+00, 0.00000000e+00, 9.0000000000, 2.8682205952, 0.0359749000
          22, 1.04104087e-01, 1.18046818e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.21069603e-02, 1.15747707e-01, 1.06654490e-01, 0.00000000e+00, 8.81888124e-01, 1.25000000e+00, 0.00000000e+00, -1.44615508e+00, 1.00760607e+00, 1.08129608e+00, 4.03816545e+00, 0.00000000e+00, 9.0000000000, 2.8567111763, 0.0375958167
          23, 1.04354238e-01, 1.16275720e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.20074448e-02, 1.13971573e-01, 1.06865946e-01, 0.00000000e+00, 8.97472302e-01, 1.25000000e+00, 0.00000000e+00, -1.44557831e+00, 1.01419187e+00, 1.08225054e+00, 4.03801463e+00, 0.00000000e+00, 9.0000000000, 2.8480685597, 0.0392173833
          24, 1.04602383e-01, 1.14585232e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 2.19061180e-02, 1.12276075e-01, 1.07077154e-01, 0.00000000e+00, 9.12878394e-01, 1.25000000e+00, 0.00000000e+00, -1.44529637e+00, 1.02021274e+00, 1.08295965e+00, 4.03743349e+00, 0.00000000e+00, 9.0000000000, 2.8424006004, 0.0408245833
